text,emotion
I am so happy today!,joy
This is the worst day ever,anger
I feel so loved and appreciated,love
I am really scared of what will happen,fear
"Iâ€™m crying, I miss you",sadness
That was hilarious!,joy
This is frustrating,anger
I adore my family,love
I'm nervous about my exam,fear
I'm heartbroken,sadness
Excited to start my new job!,joy
Why does this always happen to me?,anger
I love spending time with my friends,love
I'm terrified of the results,fear
I'm feeling low and depressed,sadness
